SubDoc:,Name:,Rows:,ColumnCount:,ColumnNames:
EXHIBIT 10.22,2005 LONG-TERM EQUITY INCENTIVE PLAN GLOBAL KEY EMPLOYEE RESTRICTED STOCK UNIT GRANT AGREEMENT STARBUCKS CORPORATION,1,2,"Date of Grant, November 13, 2019"
EXHIBIT 10.26,(PERFORMANCE-BASED) 2005 LONG-TERM EQUITY INCENTIVE PLAN GLOBAL KEY EMPLOYEE RESTRICTED STOCK UNIT GRANT AGREEMENT STARBUCKS CORPORATION,3,1,Partner Name
