Tag:,Freq:
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_amzn_InterestPaidOnLongTermDebt"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_amzn_ProceedsFromRebatesOnPurchasesOfProductiveAssets"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_amzn_RepaymentsOfLongTermFinanceLeaseObligations"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesAbstract"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_CapitalLeaseObligationsIncurred"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents"" style=""display: none;"">",2
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_DeferredIncomeTaxExpenseBenefit"" style=""display: none;"">",2
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_DepreciationDepletionAndAmortization"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_EffectOfExchangeRateOnCashAndCashEquivalents"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_IncomeTaxesPaidNet"" style=""display: none;"">",2
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_IncreaseDecreaseInAccountsPayable"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_IncreaseDecreaseInAccountsReceivableAndOtherOperatingAssets"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_IncreaseDecreaseInContractWithCustomerLiability"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_IncreaseDecreaseInInventories"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_IncreaseDecreaseInOperatingCapitalAbstract"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_NetCashProvidedByUsedInFinancingActivities"" style=""display: none;"">",2
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_NetCashProvidedByUsedInFinancingActivitiesAbstract"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_NetCashProvidedByUsedInInvestingActivities"" style=""display: none;"">",2
