searchterm,user,date,retweets,Polarity Score
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',-0.48333333333333334
b'Papa Johns',b'',2018-03-01,b'8',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.3833333333333333
b'Papa Johns',b'',2018-03-01,b'0',0.8
b'Papa Johns',b'',2018-03-01,b'1',0.0
b'Papa Johns',b'',2018-03-01,b'0',-0.225
b'Papa Johns',b'',2018-03-01,b'1',0.7
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.15000000000000002
b'Papa Johns',b'',2018-03-01,b'0',0.13636363636363635
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',1.5
b'Papa Johns',b'',2018-03-01,b'0',0.5
b'Papa Johns',b'',2018-03-01,b'0',0.35
b'Papa Johns',b'',2018-03-01,b'0',0.4416666666666667
b'Papa Johns',b'',2018-03-01,b'0',0.35714285714285715
b'Papa Johns',b'',2018-03-01,b'0',0.13636363636363635
b'Papa Johns',b'',2018-03-01,b'0',0.8
b'Papa Johns',b'',2018-03-01,b'0',0.1
b'Papa Johns',b'',2018-03-01,b'0',2.5
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.9765625
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.625
b'Papa Johns',b'',2018-03-01,b'0',0.5
b'Papa Johns',b'',2018-03-01,b'0',0.625
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.2857142857142857
b'Papa Johns',b'',2018-03-01,b'0',0.5
b'Papa Johns',b'',2018-03-01,b'0',1.35
b'Papa Johns',b'',2018-03-01,b'0',-0.1875
b'Papa Johns',b'',2018-03-01,b'0',0.35000000000000003
b'Papa Johns',b'',2018-03-01,b'0',-0.125
b'Papa Johns',b'',2018-03-01,b'0',0.17045454545454544
b'Papa Johns',b'',2018-03-01,b'0',0.6666666666666667
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.5
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',-0.44296875
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',-0.56875
b'Papa Johns',b'',2018-03-01,b'1',0.0
b'Papa Johns',b'',2018-03-01,b'0',-0.3125
b'Papa Johns',b'',2018-03-01,b'0',-0.3
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.3
b'Papa Johns',b'',2018-03-01,b'0',0.37857142857142856
b'Papa Johns',b'',2018-03-01,b'0',-0.8
b'Papa Johns',b'',2018-03-01,b'0',0.2
b'Papa Johns',b'',2018-03-01,b'0',0.375
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.26785714285714285
b'Papa Johns',b'',2018-03-01,b'0',0.5
b'Papa Johns',b'',2018-03-01,b'15',0.26785714285714285
b'Papa Johns',b'',2018-03-01,b'0',0.5
b'Papa Johns',b'',2018-03-01,b'0',0.07500000000000001
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',-0.2
b'Papa Johns',b'',2018-03-01,b'0',0.30000000000000004
b'Papa Johns',b'',2018-03-01,b'0',-0.8
b'Papa Johns',b'',2018-03-01,b'0',-0.39999999999999997
b'Papa Johns',b'',2018-03-01,b'0',0.5
b'Papa Johns',b'',2018-03-01,b'1',0.525
b'Papa Johns',b'',2018-03-01,b'0',0.3929292929292929
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'9',1.3
b'Papa Johns',b'',2018-03-01,b'0',-0.19999999999999998
b'Papa Johns',b'',2018-03-01,b'0',-0.6
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',-0.4
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',-0.2833333333333333
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.55
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.1
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.2
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'4',0.078125
b'Papa Johns',b'',2018-03-01,b'0',0.1
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.5
b'Papa Johns',b'',2018-03-01,b'0',0.4027777777777778
b'Papa Johns',b'',2018-03-01,b'3',-0.16363636363636364
b'Papa Johns',b'',2018-03-01,b'0',0.625
b'Papa Johns',b'',2018-03-01,b'5',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.1
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.5
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'1',-0.10729166666666667
b'Papa Johns',b'',2018-03-01,b'0',0.625
b'Papa Johns',b'',2018-03-01,b'0',-0.16666666666666666
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.5
b'Papa Johns',b'',2018-03-01,b'0',0.1
b'Papa Johns',b'',2018-03-01,b'0',0.1
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',-0.05
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.3666666666666667
b'Papa Johns',b'',2018-03-01,b'0',0.7
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'4',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.3333333333333333
b'Papa Johns',b'',2018-03-01,b'0',0.039999999999999994
b'Papa Johns',b'',2018-03-01,b'0',0.8
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.5
b'Papa Johns',b'',2018-03-01,b'1',0.0
