corpid,brands,appdate,subnum
b'1',b'f',2019-03-18,b'5'
b'1',b'FRUSTRATION FREE SETUP',2019-03-15,b'5'
b'1',b'echo link',2019-03-14,b'5'
b'1',b'BUG DIARIES',2019-03-14,b'5'
b'1',b'COSTUME QUEST',2019-03-11,b'5'
b'1',b'FREEDIVE',2019-03-06,b'5'
b'1',b'RE:INVENT',2019-03-05,b'5'
b'1',b're:invent invent',2019-03-04,b'5'
b'1',b'AWS',2019-03-04,b'5'
b'1',b'LEAGUE OF OUTSTANDING KIDS LOOK',2019-02-19,b'5'
b'1',b'A VOICE IS ALL YOU NEED',2019-02-18,b'5'
b'1',b'JUST ASK',2019-02-11,b'5'
b'1',b'Ravenna home',2019-01-15,b'5'
b'1',b'RAVENNA HOME',2019-01-10,b'5'
b'1',b'S CABLE STITCH',2019-01-09,b'5'
b'1',b'LOL:LAST ONE LAUGHING',2018-12-18,b'5'
b'1',b'FIRE TV RECAST',2018-12-04,b'5'
b'1',b'LEVEL',2018-12-03,b'5'
b'1',b'THREE QUEENS BLEND',2018-11-21,b'5'
b'1',b'AMAZON PAY',2018-11-20,b'5'
b'1',b'amazon pay',2018-11-19,b'5'
b'1',b'MUSIC',2018-11-12,b'5'
b'1',b'AMAZONCROSSING',2018-11-07,b'5'
b'1',b'COMIXOLOGY',2018-11-07,b'5'
b'1',b'AMAZONENCORE',2018-11-07,b'5'
b'1',b'RING BEAMS',2018-11-06,b'5'
b'1',b'jet city',2018-11-05,b'5'
b'1',b'amazonencore amazon encore',2018-11-05,b'5'
b'1',b'47north north',2018-11-05,b'5'
b'1',b'thomas & mercer',2018-11-05,b'5'
b'1',b'two lions',2018-11-05,b'5'
b'1',b'amazoncrossing amazon crossing',2018-11-05,b'5'
b'1',b'netbright bright',2018-10-31,b'5'
b'1',b'NETBRIGHT',2018-10-31,b'5'
b'1',b'READYBRIGHT',2018-10-31,b'5'
b'1',b'MR BEAMS',2018-10-25,b'5'
b'1',b'HOUSE & SHIELDS CLOTHING COMPANY',2018-10-24,b'5'
b'1',b'ARTHUR HARVEY',2018-10-24,b'5'
b'1',b'NEIGHBORS',2018-10-19,b'5'
b'1',b'NEIGHBORS BY RING',2018-10-19,b'5'
b'1',b'GAMEON MASTERS',2018-10-19,b'5'
b'1',b'AMAZON CHIME',2018-10-12,b'5'
b'1',b'THIS GIANT BEAST THAT IS THE GLOBAL ECONOMY',2018-10-08,b'5'
b'1',b'FREE DIVE',2018-10-02,b'5'
b'1',b'REBELLION BREAD',2018-09-25,b'5'
b'1',b'Amazon',2018-09-24,b'5'
b'1',b'SWISHIP',2018-09-20,b'5'
b'1',b'AMAZON WEB SERVICES',2018-09-12,b'5'
b'1',b'FIRE TV CUBE',2018-09-12,b'5'
b'1',b'aws',2018-09-07,b'5'
b'1',b'fire tv cube',2018-09-07,b'5'
b'1',b'amazon 1-click',2018-09-05,b'5'
b'1',b'CHIME',2018-08-24,b'5'
b'1',b'AMAZON REDSHIFT SPECTRUM',2018-08-23,b'5'
b'1',b'PRIME',2018-08-23,b'5'
b'1',b'lore',2018-08-15,b'5'
b'1',b'BLAZINGTEXT',2018-08-14,b'5'
b'1',b'LORE',2018-08-14,b'5'
b'1',b'AMAZON RING',2018-08-14,b'5'
b'1',b'QUIVELA',2018-08-13,b'5'
b'1',b'FLEETIQ',2018-08-13,b'5'
b'1',b'RING',2018-08-05,b'5'
b'1',b'EAT. RACE. WIN.',2018-07-31,b'5'
b'1',b'eat race win',2018-07-31,b'5'
b'1',b'Prime',2018-07-27,b'5'
b'1',b'music',2018-07-13,b'5'
b'1',b'ALEXA ONBOARD',2018-07-09,b'5'
b'1',b'AMAZON BLINK',2018-07-09,b'5'
b'1',b'PRIME DAY',2018-07-02,b'5'
b'1',b'TASTE OF PLACE',2018-06-27,b'5'
b'1',b'TRANSPARENCY',2018-06-26,b'5'
b'1',b'HIGH FIVE FOR FARMERS',2018-06-26,b'5'
b'1',b'whole kids',2018-06-19,b'5'
b'1',b'WHOLE KIDS',2018-06-19,b'5'
b'1',b'HEALTH STARTS HERE',2018-06-19,b'5'
b'1',b'BLINK',2018-06-19,b'5'
b'1',b'health starts here',2018-06-19,b'5'
b'1',b'OH HELLO',2018-06-14,b'5'
b'1',b'GREEN MISSION',2018-06-14,b'5'
b'1',b'MERCHANT OF VINO',2018-06-14,b'5'
b'1',b'CANDY ISLAND',2018-06-14,b'5'
b'1',b'FOOD FROM A HAPPY PLACE',2018-06-14,b'5'
b'1',b'LOVE WHERE YOU SHOP',2018-06-14,b'5'
b'1',b'BREAD & CIRCUS',2018-06-13,b'5'
b'1',b'HANDCRAFTED COFFEE',2018-06-13,b'5'
b'1',b'SUSTAINABLY DELICIOUS',2018-06-13,b'5'
b'1',b'HERBAL REGULARITY',2018-06-11,b'5'
b'1',b'THINK SMART',2018-06-11,b'5'
b'1',b'STARKEY SPRING WATER',2018-06-11,b'5'
b'1',b'CELEBRATION CAFFE',2018-06-11,b'5'
b'1',b'QUACK\xe2\x80\x99N BITES',2018-06-11,b'5'
b'1',b'ESPRESSO BEL CANTO',2018-06-11,b'5'
b'1',b'WHOLEZYME',2018-06-11,b'5'
b'1',b'WELLSPRING',2018-06-11,b'5'
b'1',b'IMMUNE WISE',2018-06-11,b'5'
b'1',b'DEEP DOWN GOOD',2018-06-11,b'5'
b'1',b'SEEDUCTION',2018-06-11,b'5'
b'1',b'FROM SEED TO CUP',2018-06-11,b'5'
b'1',b'WHOLEMEND',2018-06-11,b'5'
b'1',b'CREATURE CRACKERS',2018-06-11,b'5'
b'1',b'CAFFEINATE YOUR CONSCIENCE',2018-06-11,b'5'
b'1',b'FIT STICKS',2018-06-11,b'5'
b'1',b'T Transparency',2018-06-08,b'5'
b'1',b'lark & ro',2018-06-07,b'5'
b'1',b'AMAZON ECS',2018-05-28,b'5'
b'1',b'K AMAZON EKS',2018-05-28,b'5'
b'1',b'AMAZON SAGEMAKER',2018-05-28,b'5'
b'1',b'AMAZON GUARDDUTY',2018-05-28,b'5'
b'1',b'FREERTOS',2018-05-25,b'5'
b'1',b'AWS FARGATE',2018-05-25,b'5'
b'1',b'SUMERIAN',2018-05-25,b'5'
b'1',b'AMAZON SUMERIAN',2018-05-25,b'5'
b'1',b'AMAZON FREERTOS',2018-05-25,b'5'
b'1',b'amazon sagemaker',2018-05-24,b'5'
b'1',b'aws fargate',2018-05-24,b'5'
b'1',b'k amazon eks',2018-05-24,b'5'
b'1',b'amazon guardduty',2018-05-24,b'5'
b'1',b'AMAZONTUBE',2018-05-24,b'5'
b'1',b'OPENTUBE',2018-05-24,b'5'
b'1',b'amazon ecs',2018-05-24,b'5'
b'1',b'freertos',2018-05-24,b'5'
b'1',b'amazon freertos',2018-05-24,b'5'
b'1',b'K Amazon EKS',2018-05-24,b'5'
b'1',b'Amazon ECS',2018-05-24,b'5'
b'1',b'AMAZON EKS',2018-05-24,b'5'
b'1',b'sumerian',2018-05-21,b'5'
b'1',b'amazon sumerian',2018-05-18,b'5'
b'1',b'AWS DeepLens',2018-05-18,b'5'
b'1',b'AWS DEEPLENS',2018-05-18,b'5'
b'1',b'AMAZON NEPTUNE',2018-05-17,b'5'
b'1',b'amazon neptune',2018-05-17,b'5'
b'1',b'aws deeplens',2018-05-16,b'5'
b'1',b'SUITE ALICE',2018-05-08,b'5'
b'1',b'DAYANA',2018-05-03,b'5'
b'1',b'AMAZON WORKSPACES',2018-04-26,b'5'
b'1',b'amazon WorkSpaces',2018-04-26,b'5'
b'1',b'amazon workspaces work spaces',2018-04-25,b'5'
b'1',b'RING FLOODLIGHT CAM',2018-04-24,b'5'
b'1',b'DEEPLENS',2018-04-23,b'5'
b'1',b'ISLE BAY LINENS',2018-04-17,b'5'
b'1',b'SOCIAL GRACES',2018-04-17,b'5'
b'1',b'PLUMBERRY',2018-04-17,b'5'
b'1',b'WOOD PAPER COMPANY',2018-04-17,b'5'
b'1',b'AMAZON CLOUD CAM',2018-04-16,b'5'
b'1',b'ALEXA GADGETS',2018-04-13,b'5'
b'1',b'THE SOUNDBOARD',2018-04-09,b'5'
b'1',b'AMAZON FUSE',2018-04-08,b'5'
b'1',b'A FOR AWESOME',2018-04-05,b'5'
b'1',b'OBSIDIAN',2018-04-03,b'5'
b'1',b'DAISY DRIVE',2018-04-03,b'5'
b'1',b'FLYING ACE',2018-04-03,b'5'
b'1',b'PAINTED HEART',2018-04-03,b'5'
b'1',b'prime video',2018-04-01,b'5'
b'1',b'A & Design',2018-03-27,b'5'
b'1',b'ALLEGRO TEA',2018-03-27,b'5'
